position,pfr_name,feature_coverage,mean_5nn_distance,neighbor_density_percentile,model_confidence_score,model_confidence,out_of_distribution_flag,nearest5_historical_hit_rate,nearest5_historical_star_rate,nearest5_historical_primary_ppg_mean,closest_historical_comps,closest_comp_1,closest_comp_2,closest_comp_3,similarity_feature_count,historical_reference_n
WR,Chris Brazzell II,0.9847328244274809,0.5946723328914423,65.35836177474403,75.29283797514523,High,0,0.4,0.2,5.680625,Chad Williams (2017); Laurent Robinson (2007); Mike Sims-Walker (2007); Jerome Simpson (2008); Cooper Kupp (2017),Chad Williams (2017),Laurent Robinson (2007),Mike Sims-Walker (2007),131,586
WR,Ted Hurst,0.9847328244274809,1.0516739537628486,4.436860068259386,32.647786780606,Low,1,0.2,0.2,5.270125,Justin Hunter (2013); Derek Hagan (2006); T.Y. Hilton (2012); Mario Urrutia (2008); Cedrick Wilson (2018),Justin Hunter (2013),Derek Hagan (2006),T.Y. Hilton (2012),131,586
WR,Zavion Thomas,1.0,0.5391360967664875,79.5221843003413,85.66552901023891,High,0,0.2,0.2,5.892022058823529,Van Jefferson (2020); Marquise Goodwin (2013); Derrick Williams (2009); Hunter Renfrow (2019); Dexter McCluster (2010),Van Jefferson (2020),Marquise Goodwin (2013),Derrick Williams (2009),131,586
WR,Chris Bell,1.0,0.5872585647725848,67.4061433447099,77.18430034129693,High,0,0.2,0.0,5.897279411764705,Cody Latimer (2014); Michael Pittman Jr. (2020); Devin Duvernay (2020); Gabriel Davis (2020); Jordan Payton (2016),Cody Latimer (2014),Michael Pittman Jr. (2020),Devin Duvernay (2020),131,586
WR,Brenen Thompson,1.0,0.8425448936327828,16.89419795221843,41.8259385665529,Medium,0,0.0,0.0,3.189963235294118,Martavis Bryant (2014); Jalen Camp (2021); Quintez Cephus (2020); Keshawn Martin (2012); Devin Lucien (2016),Martavis Bryant (2014),Jalen Camp (2021),Quintez Cephus (2020),131,586
WR,Elijah Sarratt,1.0,0.9520308678370328,8.19112627986348,35.73378839590443,Low,1,0.2,0.2,4.78875,Josh Boyce (2013); Marquess Wilson (2013); Jalen Saunders (2014); Alshon Jeffery (2012); Tandon Doss (2011),Josh Boyce (2013),Marquess Wilson (2013),Jalen Saunders (2014),131,586
WR,Kaden Wetjen,1.0,1.0390616639144605,5.290102389078498,33.70307167235495,Low,1,0.0,0.0,0.9225,Juwann Winfree (2019); Racey McMath (2021); Skyler Green (2006); Brice Butler (2013); Tyrie Cleveland (2020),Juwann Winfree (2019),Racey McMath (2021),Skyler Green (2006),131,586
WR,Skyler Bell,1.0,0.7782282596590384,23.037542662116042,46.12627986348123,Medium,0,0.2,0.0,4.482058823529412,Rashad Greene (2015); Jared Abbrederis (2014); Devin Duvernay (2020); Jordan Shipley (2010); Nelson Agholor (2015),Rashad Greene (2015),Jared Abbrederis (2014),Devin Duvernay (2020),131,586
WR,Bryce Lance,0.0916030534351145,0.16074315998721023,93.85665529010238,68.4477503061251,Low,1,0.0,0.0,3.0100000000000002,Cecil Shorts (2011); Daurice Fountain (2018); Arman Shields (2008); Justin Watson (2018); Clyde Gates (2011),Cecil Shorts (2011),Daurice Fountain (2018),Arman Shields (2008),131,586
WR,Colbie Young,0.9694656488549618,0.61416845030643,60.068259385665534,71.13175103561471,High,0,0.4,0.4,4.835220588235293,Hunter Renfrow (2019); Michael Wilson (2023); Michael Woods (2022); Terry Godwin (2019); Keith Mumphery (2015),Hunter Renfrow (2019),Michael Wilson (2023),Michael Woods (2022),131,586
