position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error
RB,hit3,cat,draftcap_plus_top16,22,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,draftcap_plus_top16,22,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top24,24,cat3_unweighted,86,86,0.21303648657343324,0.13380632959832398,0.735937653371209,0.6686377315945012,0.5822067078635784,
RB,hit3,cat,ranked_top24,24,cat4_unweighted,86,86,0.202914644518206,0.1278424519933126,0.5913857251719005,0.6879620560727442,0.5513184584178499,
RB,hit3,cat,ranked_top24,24,cat3_balanced,86,86,0.2714733678306323,0.15906990968224302,0.8341810152992627,0.6721107350680967,0.576338506533327,
RB,hit3,cat,ranked_top24,24,cat4_balanced,86,86,0.27880236352794513,0.16253553197748033,0.7910795242838892,0.6665351332392838,0.5515637530072173,
RB,hit3,cat,ranked_top24,24,cat3_scaled,86,86,0.2714733678306323,0.15906990968224302,0.8341810152992627,0.6721107350680967,0.576338506533327,
RB,hit3,cat,ranked_top24,24,cat4_scaled,86,86,0.27880236352794513,0.16253553197748033,0.7910795242838892,0.6665351332392838,0.5515637530072173,
RB,hit3,cat,ranked_top24,24,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,ranked_top24,24,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
