college_season,source_date,metric,rank,teamrankings_team,team_key,value,source_url
2004,2005-01-05,plays_pg,17,Louisiana,lalafayette,77.0,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,18,Northwestern,northwestern,76.8,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,19,BYU,byu,76.7,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,20,Rice,rice,76.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,21,Toledo,toledo,76.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,22,Louisville,louisville,76.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,22,Kent St,kentst,76.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,24,Washington,washington,76.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,25,Cincinnati,cincinnati,76.1,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,26,Iowa St,iowast,75.9,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,27,San Diego St,sandiegost,75.7,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,28,Michigan St,michiganst,75.6,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,29,Temple,temple,75.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,30,Wyoming,wyoming,75.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,31,UConn,uconn,75.3,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,32,Bowling Green,bowlinggreen,75.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,33,Texas,texas,75.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,34,Oklahoma,oklahoma,75.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,35,Washington St,washingtonst,75.0,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
