season,pfr_name,draft_pick,primary_ppg,position,prospect_model_score,hit3,star3,best_rank3,target_valid
2022,Rachaad White,91,13.75,RB,9.106175631241918,1,1,4.0,1
2022,Tyrion Davis-Price,93,0.3529411764705882,RB,7.373763613638733,0,0,124.0,1
2022,Brian Robinson,98,10.526470588235291,RB,7.149526323989057,0,0,21.0,1
2022,Dameon Pierce,107,7.326470588235294,RB,4.826683793326708,0,0,27.0,1
2022,Zamir White,122,3.035294117647059,RB,5.413131550186368,0,0,56.0,1
2022,Isaiah Spiller,123,0.8058823529411765,RB,4.9632962214518095,0,0,95.0,1
2022,Pierre Strong,127,2.294117647058824,RB,5.204718190296043,0,0,72.0,1
2022,Hassan Haskins,131,1.7294117647058824,RB,3.619352149154369,0,0,81.0,1
2022,Tyler Allgeier,151,8.73529411764706,RB,4.598804539583558,0,0,29.0,1
2022,Snoop Conner,154,0.3,RB,3.969707850481349,0,0,121.0,1
2022,Jerome Ford,156,10.152941176470588,RB,3.943013980383895,0,0,16.0,1
2022,Kyren Williams,164,15.50294117647059,RB,4.061998693443465,1,0,7.0,1
2022,Ty Chandler,169,3.805882352941176,RB,3.755254961792928,0,0,48.0,1
2022,Kevin Harris,183,0.9558823529411764,RB,2.4459365764038745,0,0,91.0,1
2022,Tyler Badie,196,0.5529411764705883,RB,3.1799887177322,0,0,112.0,1
2022,Keaontay Ingram,201,0.9441176470588232,RB,2.8237102903660367,0,0,105.0,1
2022,Trestan Ebner,203,0.1823529411764705,RB,2.100191017404313,0,0,135.0,1
2022,Brittain Brown,250,0.0,RB,-0.8848348975545766,0,0,,1
2022,Isaih Pacheco,251,10.261764705882351,RB,2.232427721250592,0,0,15.0,1
2022,Zander Horvath,260,0.0,RB,-1.4765322484899377,0,0,,1
2023,Bijan Robinson,8,20.95588235294117,RB,14.165526669413053,1,1,2.0,1
2023,Jahmyr Gibbs,12,21.46470588235294,RB,12.7112865553686,1,1,1.0,1
2023,Zach Charbonnet,52,10.83235294117647,RB,8.886170077439033,0,0,24.0,1
2023,Kendre Miller,71,2.252941176470588,RB,6.782207011235595,0,0,70.0,1
2023,Tyjae Spears,81,7.86470588235294,RB,7.448076824459596,0,0,34.0,1
2023,Devon Achane,84,18.314705882352943,RB,8.201516274430496,1,1,5.0,1
2023,Tank Bigsby,88,5.376470588235294,RB,7.659102548314932,0,0,36.0,1
2014,Sammy Watkins,4,13.025,WR,12.57098082057823,1,0,19.0,1
2014,Mike Evans,7,17.1625,WR,14.988583711734687,1,1,3.0,1
2014,Odell Beckham,12,19.259375,WR,8.730909761904758,1,1,4.0,1
2014,Brandin Cooks,20,15.621875,WR,10.670735085034012,1,1,10.0,1
2014,Kelvin Benjamin,28,13.215625,WR,9.935840046768725,1,0,17.0,1
2014,Marqise Lee,39,8.328125,WR,10.120866530612243,0,0,39.0,1
2014,Jordan Matthews,42,13.528125,WR,9.156508120748306,0,0,,1
2014,Paul Richardson,45,3.7,WR,8.184971318027213,0,0,98.0,1
2014,Davante Adams,53,11.03125,WR,7.76875332482993,1,1,9.0,1
2014,Cody Latimer,56,1.05,WR,6.194565034013606,0,0,155.0,1
2014,Allen Robinson,61,15.728125,WR,8.346469931972786,1,1,6.0,1
2014,Jarvis Landry,63,15.895625,WR,7.754113612528343,1,1,8.0,1
2014,Josh Huff,86,3.65625,WR,4.691286812641722,0,0,89.0,1
2014,Donte Moncrief,90,8.621875,WR,7.061986581632647,0,0,35.0,1
2014,John Brown,91,11.078125,WR,3.6684938140976087,1,0,24.0,1
2014,Dri Archer,97,0.415625,WR,4.36324514030612,0,0,,1
2014,Jalen Saunders,104,0.053125,WR,3.3955787500000003,0,0,185.0,1
2014,Bruce Ellington,106,1.9375,WR,3.901779539399092,0,0,120.0,1
2014,Shaquelle Evans,115,0.0,WR,3.822250525793652,0,0,,1
2014,Martavis Bryant,118,9.384375,WR,3.871090971513605,0,0,38.0,1
2014,Kevin Norwood,123,0.6000000000000001,WR,3.99154021400227,0,0,141.0,1
2014,Ryan Grant,142,2.45,WR,4.548622060657595,0,0,98.0,1
2014,Devin Street,146,0.81875,WR,3.124547937925169,0,0,147.0,1
2014,Jared Abbrederis,176,0.684375,WR,1.312834122023809,0,0,153.0,1
2014,Robert Herron,185,0.5562499999999999,WR,2.4330214675453514,0,0,144.0,1
2014,T.J. Jones,189,1.35,WR,2.204912049319728,0,0,138.0,1
