position,model,eligible,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,ridge_compact_h54_a100_centered0.5,True,1086,4.017695100104281,5.292584007778718,0.2521596570655652,0.2525221070305321,8.11111111111111,8.49074074074074,8.31111111111111
DST,ridge_compact_h54_a100_centered1.0,False,1086,4.0267808446650735,5.306400243459016,0.24274150315770296,0.25427717189118,8.444444444444445,8.25925925925926,8.177777777777779
DST,ridge_compact_h54_a1000_centered0.5,False,1086,4.0172742199554845,5.28909390203491,0.25461497691239054,0.24896523073427446,8.055555555555555,8.527777777777779,8.455555555555556
DST,ridge_compact_h54_a1000_centered1.0,False,1086,4.018906667094442,5.29173248875729,0.2522898300087381,0.2534720154336024,8.083333333333334,8.370370370370372,8.377777777777778
DST,ridge_combined_h18_a100_centered0.5,False,1086,4.032994920775689,5.291584634296492,0.2533321241661049,0.25786789838351926,8.972222222222221,8.53703703703704,8.527777777777779
DST,ridge_combined_h18_a100_centered1.0,False,1086,4.067096924371805,5.318192318528109,0.2382299752189942,0.2389062468732376,8.833333333333334,8.814814814814817,8.427777777777777
DST,ridge_combined_h18_a1000_centered0.5,False,1086,4.022335381164269,5.288884617362812,0.25494532371923406,0.2551815044676721,8.027777777777779,8.490740740740742,8.444444444444445
DST,ridge_combined_h18_a1000_centered1.0,False,1086,4.030286836464325,5.292783945536886,0.2520633236953774,0.2581986654030579,7.833333333333333,8.50925925925926,8.372222222222224
DST,ridge_combined_h54_a100_centered0.5,False,1086,4.029421335262988,5.289831918310618,0.25421788840753257,0.2560834428485799,8.88888888888889,8.712962962962965,8.65
DST,ridge_combined_h54_a100_centered1.0,False,1086,4.0579390515683835,5.313574213499497,0.24022785590126883,0.24332939322812097,8.444444444444445,8.796296296296298,8.422222222222224
DST,ridge_combined_h54_a1000_centered0.5,False,1086,4.021320240807758,5.287642822864367,0.25558869048073596,0.2571963788861974,8.0,8.379629629629632,8.455555555555557
DST,ridge_combined_h54_a1000_centered1.0,False,1086,4.029225260147689,5.291282329763545,0.2528165750067253,0.25852010844423595,7.805555555555555,8.435185185185187,8.466666666666669
K,v42,True,1088,3.4885965233889884,4.40403611624283,0.12821319736778453,0.11562001205964052,8.555555555555555,8.88888888888889,8.83888888888889
K,offset_h18_p64,False,1088,3.5003014497760843,4.404627437580018,0.1250495350374181,0.11562001205964052,8.555555555555555,8.88888888888889,8.83888888888889
K,offset_h18_p256,False,1088,3.497422570936708,4.404043089757388,0.12585630212034313,0.11562001205964052,8.555555555555555,8.88888888888889,8.83888888888889
K,offset_h54_p64,False,1088,3.4973960411172236,4.404520191399249,0.1253877968312672,0.11562001205964052,8.555555555555555,8.88888888888889,8.83888888888889
K,offset_h54_p256,False,1088,3.4959551085541616,4.404259574641256,0.12586452099464876,0.11562001205964052,8.555555555555555,8.88888888888889,8.83888888888889
K,group_team_h18_p16,False,1088,3.5120964269264134,4.435251327290673,0.10228882890324915,0.10320549195515509,8.61111111111111,8.546296296296296,8.633333333333333
K,group_team_h18_p64,False,1088,3.493034218387725,4.4122214435352705,0.11950369540561816,0.10704268421201572,8.777777777777779,8.777777777777779,8.716666666666669
K,group_team_h54_p16,False,1088,3.514642501179249,4.441470971712897,0.09813242234272163,0.09677422642756789,8.5,8.712962962962964,8.788888888888888
K,group_team_h54_p64,False,1088,3.494743479094628,4.415548218725049,0.11633473494556698,0.10350676594974452,8.833333333333334,8.62962962962963,8.711111111111112
K,group_opponent_team_h18_p16,False,1088,3.5055221672169274,4.42188179976808,0.12172015487108614,0.11672068018398976,8.61111111111111,8.787037037037038,8.411111111111113
K,group_opponent_team_h18_p64,False,1088,3.492196436498066,4.406226284693072,0.12812750164393283,0.11636718264680843,7.861111111111111,8.805555555555555,8.683333333333334
K,group_opponent_team_h54_p16,False,1088,3.508522015033858,4.430409554135179,0.11697849513007029,0.11515750335845598,8.527777777777779,8.583333333333332,8.488888888888889
K,group_opponent_team_h54_p64,False,1088,3.4944132436554924,4.41044423454967,0.12505641656290506,0.11208751747999705,7.916666666666667,8.574074074074074,8.805555555555555
K,ridge_slope_h18_a100,False,1088,3.502535885633606,4.403307536057792,0.11748293812323879,0.11562001205964052,8.555555555555555,8.88888888888889,8.83888888888889
K,ridge_slope_h18_a1000,False,1088,3.493622320864968,4.4025389778682715,0.12424813776592142,0.11562001205964052,8.555555555555555,8.88888888888889,8.83888888888889
K,ridge_slope_h54_a100,False,1088,3.4993440480768534,4.403183245357857,0.11874879431310084,0.11562001205964052,8.555555555555555,8.88888888888889,8.83888888888889
