season,position,position_year_rank,position_2023_2026_rank,overall_percentile_rank_2023_2026,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2024,WR,25,93,233,Johnny Wilson,PHI,6,185,1.77262543967587,18.857142857142858,0.02373691275715828,,1.0,0.0,-1.217215898977801
2025,WR,26,94,238,Tez Johnson,TAM,7,235,1.6596153185024014,17.142857142857142,0.027882421,,1.0,0.0,-1.0360499369389364
2024,WR,26,95,238,Malik Washington,MIA,6,184,1.6522894373999604,17.142857142857142,0.019941706210374832,,1.0,0.0,-1.1991259922676845
2026,WR,30,96,241,Josh Cameron,JAX,6,191,1.494856783338335,14.857142857142858,0.03078557178378105,,1.0,0.0,-0.5644455116615248
2026,WR,31,97,242,Lewis Bond,HOU,6,204,1.449890933248299,13.904761904761905,0.03180822730064392,,1.0,0.0,0.6540563257510579
2024,WR,27,98,243,Devaughn Vele,DEN,7,235,1.4380096719937965,13.523809523809524,0.021929627284407616,,1.0,0.0,-1.0211946226250683
2024,WR,28,99,244,Cornelius Johnson,LAC,7,253,1.4191698261804713,12.95238095238095,0.023088784888386726,,1.0,0.0,-0.8643785630344851
2024,WR,29,100,245,Ryan Flournoy,DAL,6,216,1.3960004150675418,12.761904761904763,0.028624894097447395,,0.0,0.0,-0.2573648103586325
2026,WR,32,101,247,CJ Williams,JAX,6,203,1.3443847534013604,11.047619047619047,0.01798437349498272,,1.0,0.0,0.0785390544903936
2026,WR,33,102,247,Anthony Smith,DAL,7,218,1.3357829581415894,11.047619047619047,0.018219776451587677,,1.0,0.0,-0.119894095792012
2024,WR,30,103,249,Jha'Quan Jackson,TEN,6,182,1.3264978161264502,10.666666666666668,0.0404442735016346,,1.0,0.0,0.3629469392645372
2026,WR,34,104,251,Deion Burks,IND,7,254,1.3152049614845938,10.095238095238095,0.01815544068813324,,1.0,0.0,-0.0554507865678362
2025,WR,27,105,253,Jimmy Horn,CAR,6,208,1.3020361839735892,9.333333333333334,0.04518243,,1.0,0.0,0.39368168197253794
