position,name,eligible,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,rounded_pa@1.0,False,1630,4.1177196573330646,5.348122389922902,0.2671312958097771,0.2574516637111081,9.38888888888889,8.58641975308642,8.511111111111113
DST,pbp_ridge100@0.25,False,1630,4.119715528943838,5.362394035007113,0.26072774508068564,0.25303331101700305,8.537037037037036,8.462962962962964,8.355555555555556
DST,pbp_ridge100@0.5,False,1630,4.143770496597467,5.382974130199698,0.24857823873840784,0.24203313118960854,8.25925925925926,8.271604938271604,8.359259259259261
DST,pbp_ridge100@0.75,False,1630,4.178301652897208,5.415803313164809,0.23218723279773087,0.2319202089169493,8.425925925925926,8.28395061728395,8.551851851851852
DST,pbp_ridge100@1.0,False,1630,4.2216032188707775,5.460660665903262,0.21350281984576167,0.20779493509110944,8.481481481481481,7.808641975308642,8.188888888888888
DST,pbp_ridge1000@0.25,False,1630,4.1116956443552155,5.352039148182647,0.26628835256114863,0.2586633103718342,8.666666666666666,8.543209876543209,8.54814814814815
DST,pbp_ridge1000@0.5,False,1630,4.121798370358666,5.354401709074488,0.2632008914474713,0.2574672321443947,8.11111111111111,8.574074074074073,8.57777777777778
DST,pbp_ridge1000@0.75,False,1630,4.13603623288219,5.36128597289022,0.25773343562379736,0.257167722137637,8.444444444444445,8.672839506172838,8.348148148148148
DST,pbp_ridge1000@1.0,False,1630,4.152720934762745,5.372674558037973,0.2499580222582954,0.24834804756172182,8.518518518518519,8.5679012345679,8.322222222222223
DST,pbp_bayes@0.25,True,1630,4.110467960449756,5.350827961059066,0.266874246866299,0.26011957784297307,9.092592592592593,8.555555555555555,8.596296296296297
DST,pbp_bayes@0.5,False,1630,4.118651842697323,5.351459220471338,0.26471047516681095,0.2582593751447776,8.11111111111111,8.648148148148149,8.437037037037038
DST,pbp_bayes@0.75,False,1630,4.13050700617219,5.356096637130204,0.26040898191695794,0.2573424953636537,8.444444444444445,8.629629629629628,8.362962962962964
DST,pbp_bayes@1.0,False,1630,4.144641704387262,5.364729821955701,0.253894228049789,0.25371704499225667,8.61111111111111,8.91358024691358,8.35925925925926
DST,pbp_cat2@0.25,False,1630,4.112535772562227,5.345874991561419,0.26856138940943375,0.25608520282557706,9.055555555555555,8.666666666666666,8.485185185185186
DST,pbp_cat2@0.5,False,1630,4.12456255167642,5.344743183770456,0.26680953960739845,0.2507710293890471,9.5,8.679012345679011,8.566666666666666
DST,pbp_cat2@0.75,False,1630,4.144985024630213,5.350813419743373,0.26143088044785445,0.2502142472397176,9.148148148148149,8.907407407407407,8.714814814814817
DST,pbp_cat2@1.0,False,1630,4.1737464041546435,5.364061248973287,0.25239691258785596,0.24226832919394004,9.592592592592593,8.956790123456791,8.84814814814815
DST,pbp_cat4@0.25,False,1630,4.112540180033851,5.345967555946139,0.2685321327765932,0.25564339987807594,9.425925925925926,8.543209876543209,8.618518518518519
DST,pbp_cat4@0.5,False,1630,4.1255924945380675,5.345084464037405,0.26664346094475283,0.2532822524821391,9.61111111111111,8.617283950617283,8.492592592592594
DST,pbp_cat4@0.75,False,1630,4.147308161651266,5.351558640538738,0.26099401976041214,0.25104769427976054,9.333333333333334,9.018518518518517,8.844444444444445
DST,pbp_cat4@1.0,False,1630,4.176682020481077,5.365363452322789,0.25155679808025055,0.24203630674026336,9.833333333333334,9.148148148148149,8.922222222222224
DST,pbp_extra@0.25,False,1630,4.113009442409805,5.34485006882028,0.26881013034279705,0.257453094245098,8.814814814814815,8.753086419753085,8.537037037037036
DST,pbp_extra@0.5,False,1630,4.122763142006698,5.340998757726185,0.26856412395661167,0.25604427382270717,9.481481481481481,8.543209876543209,8.62962962962963
DST,pbp_extra@0.75,False,1630,4.13728089528537,5.34266224305097,0.2659490710348327,0.2525595166481465,8.61111111111111,8.555555555555555,8.588888888888889
DST,pbp_extra@1.0,False,1630,4.157888104007148,5.349835380461485,0.2606621084268016,0.24860275891192118,8.777777777777779,8.783950617283951,8.648148148148149
DST,pbp_xgb@0.25,False,1630,4.111779569743093,5.3486533448668805,0.267304322863705,0.2564986422383705,8.796296296296296,8.62962962962963,8.466666666666669
DST,pbp_xgb@0.5,False,1630,4.124036178111015,5.349052310543617,0.26485753028647047,0.253142401813549,9.037037037037036,8.543209876543209,8.537037037037038
DST,pbp_xgb@0.75,False,1630,4.141312606407468,5.355399843135706,0.25968714202987575,0.24787228830963123,9.203703703703704,8.574074074074074,8.600000000000001
DST,pbp_xgb@1.0,False,1630,4.163115978895705,5.367674839288749,0.25195862472644115,0.2398654131750271,9.351851851851851,8.469135802469136,8.44814814814815
DST,pbp_lgbm@0.25,False,1630,4.112723009875553,5.348795944772673,0.2672695374329545,0.25512217048310676,8.88888888888889,8.61111111111111,8.507407407407408
DST,pbp_lgbm@0.5,False,1630,4.131359163490985,5.35316689169907,0.26263146869552534,0.25129185929324127,9.166666666666666,8.530864197530864,8.596296296296297
DST,pbp_lgbm@0.75,False,1630,4.158074792392513,5.367293224934554,0.25331928436946305,0.24081996015235987,9.203703703703704,8.462962962962964,8.466666666666667
DST,pbp_lgbm@1.0,False,1630,4.1903124712274,5.39109825869947,0.24017232814357545,0.22620082728121094,8.425925925925926,8.666666666666666,8.622222222222222
DST,pbp_poisson_events@0.25,True,1630,4.108443844523812,5.347195540948984,0.26844964416784867,0.2600777813382709,9.185185185185185,8.604938271604938,8.62962962962963
DST,pbp_poisson_events@0.5,False,1630,4.11451388874933,5.344150223686519,0.26828815270266626,0.26111456278099104,9.018518518518519,8.549382716049383,8.6
DST,pbp_poisson_events@0.75,False,1630,4.124623646413869,5.345075098469697,0.26623712759575446,0.2589075200541864,8.37037037037037,8.537037037037036,8.422222222222224
DST,pbp_poisson_events@1.0,False,1630,4.137997727800657,5.349968106260185,0.2619489009076197,0.25936481317355586,7.962962962962963,8.567901234567902,8.503703703703705
K,v42,True,1630,3.50501152299565,4.380874973729962,0.14939284992583146,0.150535597040985,9.462962962962964,9.06172839506173,8.896296296296295
K,market@0.25,True,1630,3.5042381478198688,4.379040260401269,0.1513276967999807,0.1538454399044261,9.907407407407407,9.030864197530864,8.766666666666667
K,market@0.5,False,1630,3.5050260285189583,4.3800243189998,0.15066646200229203,0.15133243534018057,9.87037037037037,8.827160493827162,8.799999999999999
K,market@0.75,False,1630,3.5076086572597136,4.383825251295589,0.14689381381359828,0.14670752989649535,9.62962962962963,8.91358024691358,8.896296296296295
K,market@1.0,False,1630,3.5117328840490796,4.390435741337837,0.13998938827641472,0.13819470376515053,9.11111111111111,8.839506172839506,8.829629629629629
K,ridge10_base@0.25,False,1630,3.51206977889997,4.389484656665858,0.1436655996339752,0.13955441218085463,10.222222222222221,9.154320987654321,8.77037037037037
K,ridge10_base@0.5,False,1630,3.5326591805565903,4.411512201313146,0.13208002992576945,0.1279342026396429,9.981481481481481,9.012345679012347,8.77037037037037
K,ridge10_base@0.75,False,1630,3.5647605889838063,4.446758211230154,0.11979612845348517,0.11023222350824131,9.425925925925926,8.783950617283951,8.625925925925925
K,ridge10_base@1.0,False,1630,3.607061058505867,4.494911746800944,0.10890194485754813,0.10000070743941837,9.25925925925926,8.617283950617285,8.577777777777778
K,ridge10_extended@0.25,False,1630,3.5150555593642654,4.395253933725852,0.13927013555946652,0.1429874801818747,9.981481481481481,8.765432098765432,8.892592592592592
K,ridge10_extended@0.5,False,1630,3.548733694113665,4.435911490864858,0.11981766706371719,0.12154343174599073,9.5,8.666666666666666,8.696296296296298
K,ridge10_extended@0.75,False,1630,3.60157211361531,4.502135756950963,0.10218596338124664,0.10037150133487406,9.62962962962963,8.493827160493826,8.644444444444444
