position,year,model,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,2023,cat4_base,544,4.305616263914422,5.582190861472615,0.2515920851257731,0.25220298300171107,11.0,8.94444465637207,9.322222709655762
DST,2023,cat4_extended,544,4.298156766567035,5.569087164385747,0.26036598317990517,0.2515515416146652,8.94444465637207,10.0,9.755555152893066
DST,2023,cat6_base,544,4.307626251375632,5.578780280330975,0.25355984988791536,0.2536652062218161,8.61111068725586,8.851851463317871,8.333333015441895
DST,2023,cat6_extended,544,4.312876320234641,5.564542460325015,0.26318542351965435,0.25240645036047066,9.61111068725586,9.851851463317871,9.244443893432617
DST,2023,hist_base,544,4.308444545312113,5.581950153624276,0.2520709622886305,0.26240860833149804,8.222222328186035,8.296297073364258,9.366666793823242
DST,2023,hist_extended,544,4.3167962825380854,5.57992216769285,0.2529233335802973,0.2594193108480555,9.666666984558105,9.722222328186035,9.755556106567383
DST,2023,ridge100_recent,544,4.50678707056141,5.796499240335434,0.16688248678071063,0.18689921996224468,9.277777671813965,8.222222328186035,8.21111011505127
DST,2023,cat4_recent,544,4.343059013307221,5.605500680011042,0.23668400302658799,0.21816351260502398,9.277777671813965,10.185184478759766,8.577777862548828
DST,2023,extra40_recent,544,4.293885492367913,5.597993285182388,0.24799042692282586,0.23505558367424234,9.38888931274414,8.796297073364258,8.688889503479004
K,2021,v42,542,3.5379626661175085,4.334008164147632,0.18982444503505624,0.22036676700367383,11.277777777777779,9.407407407407408,9.011111111111111
K,2021,market,542,3.5418394729220117,4.341565234209103,0.18079006538386377,0.2021304580058404,9.166666666666666,8.944444444444445,8.722222222222221
K,2021,ridge10_base,542,3.624821641081911,4.446772341950189,0.15075582835273707,0.16714612924175365,9.166666666666666,9.000000000000002,8.644444444444446
K,2021,ridge10_extended,542,3.6696048608957206,4.549243901712356,0.1321249659469069,0.14790009554240505,8.777777777777779,8.0,8.555555555555555
K,2021,ridge100_base,542,3.5808690452518155,4.396648898256106,0.15995444874256043,0.18675383078493796,10.11111111111111,9.166666666666668,8.600000000000001
K,2021,ridge100_extended,542,3.574723287389501,4.422955929132732,0.15654053247735022,0.18009451007668678,8.722222222222221,9.203703703703704,9.033333333333333
K,2021,ridge1000_base,542,3.5433681413260687,4.3597890385586675,0.16548227047762598,0.19458383706680807,10.444444444444445,9.185185185185185,8.666666666666666
K,2021,ridge1000_extended,542,3.5363941767056417,4.36038975811025,0.1695656349208032,0.19975913889406355,9.38888888888889,9.351851851851855,8.61111111111111
K,2021,bayes_base,542,3.5414848790063607,4.354201725156285,0.16628919313153176,0.1906619460135209,10.666666666666666,9.24074074074074,8.622222222222222
K,2021,bayes_extended,542,3.5352859633472895,4.347687685351406,0.1746813734474732,0.20126426219042254,8.833333333333334,8.592592592592592,8.744444444444445
K,2021,extra16_base,542,3.565952271306725,4.3740457117971,0.14263038922463656,0.17147863168646918,8.0,8.407407407407408,8.333333333333334
K,2021,extra16_extended,542,3.5614587720640754,4.361239649128025,0.15604190442115343,0.18640906790596098,8.0,8.814814814814817,8.588888888888889
K,2021,extra40_base,542,3.548546413460396,4.354041331363884,0.16618990166231273,0.18803414663288448,9.38888888888889,9.055555555555554,8.611111111111109
K,2021,extra40_extended,542,3.551904151917783,4.347359621123255,0.17490879145310553,0.20417376413288793,8.277777777777779,8.907407407407408,8.855555555555556
K,2021,cat2_base,542,3.5601635118161967,4.392954480736264,0.12369977096143354,0.1671811197849921,8.166666666666666,8.0,8.088888888888889
K,2021,cat2_extended,542,3.5617047079012165,4.366393265801828,0.1518355743871062,0.18975049312747583,9.333333333333334,8.703703703703702,8.666666666666668
K,2021,cat4_base,542,3.604183330283094,4.432736977979921,0.0887957778409328,0.12713210567650457,7.555555555555555,7.777777777777778,7.777777777777778
K,2021,cat4_extended,542,3.5888816572305697,4.386533864711054,0.13164107999269647,0.17565789498126644,9.222222222222221,7.907407407407408,8.155555555555555
K,2021,cat6_base,542,3.6014627556038197,4.42962315933599,0.0910978485358535,0.13661409228413612,8.166666666666666,8.25925925925926,8.033333333333333
K,2021,cat6_extended,542,3.5678725056797203,4.371332002482068,0.14591159963625006,0.17755588398009667,9.722222222222221,8.703703703703704,9.066666666666668
K,2021,hist_base,542,3.5510863227643936,4.38646892073039,0.14053312505144835,0.1625360137494121,8.444444444444445,8.11111111111111,8.31111111111111
K,2021,hist_extended,542,3.557702505387306,4.383786250425987,0.1406489713455799,0.1509365336910488,7.777777777777778,7.925925925925927,8.533333333333335
K,2021,ridge100_recent,542,3.574723287389501,4.422955929132732,0.15654053247735022,0.18009451007668678,8.722222222222221,9.203703703703704,9.033333333333333
K,2021,cat4_recent,542,3.5888816572305697,4.386533864711054,0.13164107999269647,0.17565789498126644,9.222222222222221,7.907407407407408,8.155555555555555
K,2021,extra40_recent,542,3.551904151917783,4.347359621123255,0.17490879145310553,0.20417376413288793,8.277777777777779,8.907407407407408,8.855555555555556
K,2022,v42,545,3.4292713576068756,4.29990662826664,0.1136816852110012,0.1030431644954725,8.222222222222221,8.462962962962964,8.68888888888889
K,2022,market,545,3.4402148211767916,4.3011493642631935,0.11285231741131432,0.09024297022012874,7.777777777777778,8.87037037037037,8.755555555555556
K,2022,ridge10_base,545,3.584783950339984,4.465114058216765,0.07635625350133751,0.05688519276015972,10.555555555555555,8.796296296296298,8.377777777777778
K,2022,ridge10_extended,545,3.6766562594766303,4.570892769740199,0.04896574629433576,0.012619676732689301,11.61111111111111,9.000000000000002,8.399999999999999
K,2022,ridge100_base,545,3.5187688607195815,4.4015111553444735,0.07996515760575953,0.06050793313039019,10.722222222222221,8.814814814814815,8.500000000000002
K,2022,ridge100_extended,545,3.572199782772834,4.459692164083347,0.06611087473860987,0.03576883177209886,11.0,8.944444444444445,8.455555555555556
K,2022,ridge1000_base,545,3.4621880556294258,4.332618217936013,0.08554854866216567,0.08289228124685448,10.0,8.203703703703702,8.333333333333334
K,2022,ridge1000_extended,545,3.467376829446309,4.344570909326972,0.0904696181846696,0.09174582085910203,9.5,8.777777777777779,8.844444444444443
K,2022,bayes_base,545,3.4561135848494096,4.314203799882584,0.08148158971497182,0.07363496241353884,9.833333333333334,8.203703703703702,8.066666666666666
K,2022,bayes_extended,545,3.4471212539080156,4.29938739479615,0.09889034272237653,0.11233317525186091,8.944444444444445,8.629629629629628,8.555555555555557
K,2022,extra16_base,545,3.443290254484359,4.307775566035201,0.10187461917550024,0.08259653619380997,9.0,8.592592592592592,7.988888888888888
K,2022,extra16_extended,545,3.4327795811035786,4.307026726831773,0.09639738042979394,0.10345447855854042,8.777777777777779,8.425925925925926,8.333333333333332
K,2022,extra40_base,545,3.443538108831837,4.305019323745313,0.09767891398039392,0.0880640407633528,9.555555555555555,8.814814814814815,8.533333333333333
K,2022,extra40_extended,545,3.440514379852158,4.302217899509267,0.09712489674767978,0.08609054435465245,8.722222222222221,8.425925925925927,8.300000000000002
K,2022,cat2_base,545,3.454022928934884,4.325432439754922,0.08410243396658375,0.0791408658022169,11.0,8.38888888888889,8.522222222222222
K,2022,cat2_extended,545,3.4316213125323642,4.307948265577444,0.10170536335340016,0.10885183003773352,7.388888888888889,9.0,8.722222222222221
K,2022,cat4_base,545,3.442437735089595,4.317768315671635,0.10019143611435237,0.0957240029446321,9.777777777777779,8.851851851851851,8.577777777777778
K,2022,cat4_extended,545,3.4290070302713285,4.312672735875821,0.09708648341648579,0.10089998758101698,9.88888888888889,8.88888888888889,8.61111111111111
K,2022,cat6_base,545,3.437806836101709,4.307364844958738,0.10465113464573256,0.09251628542713793,10.055555555555555,9.018518518518517,8.600000000000001
K,2022,cat6_extended,545,3.4464571479027204,4.331897529436817,0.07496965679140065,0.09192653822712746,8.444444444444445,8.74074074074074,8.288888888888891
K,2022,hist_base,545,3.4569654539377668,4.327861234096859,0.09113256090253587,0.06519943507846969,8.5,7.925925925925924,8.28888888888889
K,2022,hist_extended,545,3.452142329093031,4.334206620599997,0.09095483373700641,0.09369357592594273,9.277777777777779,9.24074074074074,8.655555555555557
K,2022,ridge100_recent,545,3.5445516509301127,4.477211969233338,0.07740931141127234,0.057810734447722174,9.666666666666666,8.981481481481483,8.677777777777777
K,2022,cat4_recent,545,3.4369931531021436,4.320037502595844,0.09119101425018206,0.10871202016445045,9.38888888888889,8.777777777777779,8.5
K,2022,extra40_recent,545,3.42469902222729,4.283626090164521,0.12688320120744115,0.11297985458075001,8.0,8.851851851851851,8.155555555555557
K,2023,v42,543,3.5481401980690097,4.5061302103613565,0.14538435768742938,0.12819685962380858,8.88888888888889,9.314814814814815,8.988888888888889
K,2023,market,543,3.553463230695075,4.525569133020322,0.12890346434834407,0.12221068306948243,10.38888888888889,8.703703703703704,9.011111111111111
K,2023,ridge10_base,543,3.611692344314689,4.571854949720264,0.0995808736955861,0.07597080031634174,8.055555555555555,8.055555555555555,8.711111111111112
K,2023,ridge10_extended,543,3.6727798547071173,4.657610724361732,0.07983211808084269,0.06882262725516694,7.833333333333333,7.962962962962964,8.055555555555555
K,2023,ridge100_base,543,3.5847294916431105,4.547193281275426,0.11729587596309278,0.09859953844009281,8.666666666666666,8.333333333333334,8.433333333333334
K,2023,ridge100_extended,543,3.619646011058294,4.5994871961411965,0.09573477907026727,0.08693014482880253,7.833333333333333,7.962962962962962,7.844444444444445
K,2023,ridge1000_base,543,3.554068407564382,4.521382822903665,0.13340851860834804,0.1282360286442375,9.777777777777779,9.166666666666666,8.81111111111111
K,2023,ridge1000_extended,543,3.5891271999980954,4.557113006878286,0.09886519677984397,0.09767307572181168,7.944444444444445,8.074074074074074,8.088888888888889
K,2023,bayes_base,543,3.552024105471692,4.520628494976528,0.12841726663102565,0.11788094789192462,9.61111111111111,8.703703703703704,8.988888888888887
K,2023,bayes_extended,543,3.5758641167142007,4.542829027770708,0.09081168073728514,0.0986116155408063,7.333333333333333,8.407407407407408,8.4
K,2023,extra16_base,543,3.5955816805640075,4.539176383495349,0.09946068389618677,0.08443289046544289,11.11111111111111,8.444444444444446,8.222222222222221
K,2023,extra16_extended,543,3.5755255939607378,4.526850119462172,0.11823984251563738,0.1350377243527137,8.444444444444445,8.40740740740741,8.411111111111111
K,2023,extra40_base,543,3.5848749085447276,4.532711433913293,0.10686463236595078,0.10411786611049866,10.88888888888889,8.833333333333336,8.600000000000001
K,2023,extra40_extended,543,3.574008134627626,4.523367430290127,0.12038094068527332,0.13179200567174182,9.0,8.51851851851852,8.355555555555556
K,2023,cat2_base,543,3.5417754370509242,4.504656035701399,0.14972319541594808,0.142835572636682,8.61111111111111,9.25925925925926,8.955555555555556
K,2023,cat2_extended,543,3.5549741493220766,4.52112439696405,0.12353031565305575,0.12128715324577762,7.833333333333333,8.185185185185183,8.377777777777778
K,2023,cat4_base,543,3.562629395335114,4.508750916921157,0.14200565153300407,0.14988287886987184,8.833333333333334,9.703703703703702,9.244444444444445
K,2023,cat4_extended,543,3.56321418170992,4.518319941457614,0.12892584046714145,0.1487216610898185,8.61111111111111,8.351851851851851,8.644444444444444
K,2023,cat6_base,543,3.5809183391419954,4.5343932150117086,0.10860870080869903,0.12030557086665954,9.666666666666666,9.166666666666666,9.08888888888889
K,2023,cat6_extended,543,3.579477427732181,4.539340167612875,0.10439705587921329,0.10034702906327247,7.666666666666667,8.555555555555555,8.677777777777779
K,2023,hist_base,543,3.578842593380179,4.530334252887559,0.11758061497534651,0.11328179191433899,9.0,8.685185185185183,8.677777777777779
K,2023,hist_extended,543,3.5528290771044047,4.519192649841684,0.13058228312159303,0.13089307068733047,9.11111111111111,8.981481481481481,8.600000000000001
K,2023,ridge100_recent,543,3.7465113470495806,4.704700398827265,0.05741537045539827,0.06648268278179664,7.611111111111111,8.074074074074074,7.766666666666666
K,2023,cat4_recent,543,3.5725191865486075,4.5245511117839206,0.12380460036015864,0.11359700251573335,8.166666666666666,8.648148148148149,8.488888888888889
K,2023,extra40_recent,543,3.597031707353892,4.53364373360008,0.10670917918587684,0.1123544451179363,7.777777777777778,8.148148148148147,8.222222222222221
