position,pfr_name,pred_best2of3_ppg_no_scout,hit_probability_no_scout,pred_best2of3_ppg_with_scout,hit_probability_with_scout,score_delta_no_scout_minus_with_scout,hit_probability_delta_pp_no_scout_minus_with_scout,serialized_frozen_pred_best2of3_ppg,serialized_frozen_hit_probability,abs_score_scout_ablation_effect
TE,Dallen Bentley,0.5420869900629248,0.03828563168644905,0.534922981254273,0.03828563168644905,0.007164008808651867,0.0,0.5346043039272815,0.03828563,0.007164008808651867
TE,Sam Roush,4.054135435468477,0.4164258539676666,4.049590723704984,0.4164258539676666,0.004544711763492693,0.0,4.044895445670111,0.41642585,0.004544711763492693
TE,Bauer Sharp,2.561451998657272,0.08662431687116623,2.557089956222581,0.08662431687116623,0.004362042434690849,0.0,2.55521642760659,0.08662432,0.004362042434690849
TE,Eli Raridon,4.021665214074559,0.16023512184619904,4.024068252067144,0.16023512184619904,-0.002403037992585233,0.0,4.018446792915301,0.16023512,0.002403037992585233
WR,Omar Cooper Jr.,5.225151152460991,0.06844891607761383,5.948370601740702,0.06986859440803528,-0.7232194492797115,-0.14196783304214478,5.960267758103249,0.069868594,0.7232194492797115
WR,Reggie Virgil,4.23065520258103,0.029319221153855324,3.5900136724689857,0.025214891880750656,0.640641530112044,0.41043292731046677,3.6164644365246073,0.025214892,0.640641530112044
WR,Makai Lemon,9.69034708483393,0.5589141845703125,10.225773800270105,0.5795919895172119,-0.5354267154361754,-2.0677804946899414,10.264735414915965,0.579592,0.5354267154361754
WR,Antonio Williams,4.569974883453384,0.07956559956073761,5.094424797544019,0.09239408373832703,-0.5244499140906349,-1.2828484177589417,5.087450011129453,0.092394084,0.5244499140906349
WR,Elijah Sarratt,4.893156577005803,0.13363496959209442,5.41685194652861,0.146666020154953,-0.5236953695228062,-1.3031050562858582,5.434221705682271,0.14666602,0.5236953695228062
WR,Bryce Lance,3.416774528146049,0.0294194333255291,3.0226176400560214,0.028879662975668907,0.39415688809002747,0.053977034986019135,3.0266134433773506,0.028879663,0.39415688809002747
WR,Kendrick Law,2.83930317827131,0.01799866557121277,3.165641574129651,0.017434176057577133,-0.326338395858341,0.05644895136356354,3.1763659176170465,0.017434176,0.326338395858341
WR,Cyrus Allen,2.5180840553380444,0.03060951642692089,2.2109740552054165,0.026656854897737503,0.3071100001326279,0.3952661529183388,2.215292807706416,0.026656855,0.3071100001326279
WR,De'Zhaun Stribling,7.8697386986044435,0.15706926584243774,7.567401372924167,0.14852121472358704,0.30233732568027616,0.8548051118850708,7.555284829556821,0.14852121,0.30233732568027616
WR,Ted Hurst,4.662827565776314,0.21988704800605774,4.9486356067426955,0.22577476501464844,-0.2858080409663817,-0.5887717008590698,4.924652876150458,0.22577477,0.2858080409663817
WR,Kaden Wetjen,2.590929432272909,0.020309319719672203,2.8765990123549434,0.019906414672732353,-0.28566958008203436,0.040290504693984985,2.863327910164068,0.019906415,0.28566958008203436
WR,Chris Brazzell II,4.415658115121052,0.2027767151594162,4.149402422954029,0.1873580813407898,0.2662556921670225,1.5418633818626404,4.119425413400209,0.18735808,0.2662556921670225
WR,Malachi Fields,5.663497606542622,0.0721924901008606,5.402278766131453,0.06017651408910751,0.2612188404111686,1.2015976011753082,5.4003923165516206,0.060176514,0.2612188404111686
WR,Denzel Boston,8.947696750450177,0.384380578994751,8.710509459533808,0.40082594752311707,0.2371872909163688,-1.6445368528366089,8.742896696928765,0.40082595,0.2371872909163688
